# Campos que estaban escritos VACIOS y se han retirado.
# S-004 H-09: 'omit the field instead'. Un campo vacio no
# informa de nada y hace creer que el dato existe.
# Ninguno tenia valor: se retira la linea, no un dato.
#
# documento	campo
blueprints/BP-archive-fondos.md	fondos
blueprints/BP-archive-fondos.md	graph
canon/INDEX.md	changelog
canon/archive-lore.md	lore
decisions/ADR-005-prefix-ruling.md	supersedes
decisions/ADR-023-four-terms-two-pairs.md	supersedes
decisions/ADR-024-english-as-canon-language.md	supersedes
decisions/ADR-026-agent-definitions-are-cc0.md	supersedes
missions/MIS-062-mission-system-v2.md	sub_missions
standards/S-003-platform-role-system.md	series_change
